Data;1782 - BM - Base monetária restrita (saldo diário) - u.m.c. (mil)
04/07/1994;4.818.543
05/07/1994;5.470.303
06/07/1994;5.361.863
07/07/1994;5.543.922
08/07/1994;6.488.831
11/07/1994;6.553.849
12/07/1994;6.515.707
13/07/1994;6.284.067
14/07/1994;6.378.823
15/07/1994;7.108.680
18/07/1994;7.770.533
19/07/1994;7.283.888
20/07/1994;6.540.378
21/07/1994;6.813.890
22/07/1994;7.438.634
25/07/1994;7.709.254
26/07/1994;7.137.291
27/07/1994;6.992.902
28/07/1994;7.474.253
29/07/1994;7.533.465
01/08/1994;8.510.158
02/08/1994;7.683.749
03/08/1994;7.882.579
04/08/1994;8.108.030
05/08/1994;8.564.969
08/08/1994;9.848.265
09/08/1994;8.840.723
10/08/1994;8.721.586
11/08/1994;9.445.057
12/08/1994;9.580.702
15/08/1994;10.058.131
16/08/1994;9.268.901
17/08/1994;9.213.978
18/08/1994;9.334.845
19/08/1994;9.152.916
22/08/1994;9.737.565
23/08/1994;9.312.235
24/08/1994;9.326.729
25/08/1994;8.651.018
26/08/1994;8.952.474
29/08/1994;9.445.493
30/08/1994;9.566.437
31/08/1994;9.414.282
01/09/1994;9.684.715
02/09/1994;10.061.916
05/09/1994;10.852.989
06/09/1994;11.258.117
08/09/1994;11.301.123
09/09/1994;11.274.998
12/09/1994;11.577.250
13/09/1994;11.285.795
14/09/1994;10.857.828
15/09/1994;12.127.895
16/09/1994;11.385.310
19/09/1994;11.627.907
20/09/1994;10.853.875
21/09/1994;11.592.966
22/09/1994;11.268.435
23/09/1994;11.167.773
26/09/1994;11.148.656
27/09/1994;10.995.984
28/09/1994;11.072.117
29/09/1994;11.709.709
30/09/1994;12.788.598
04/10/1994;12.232.986
05/10/1994;11.971.017
06/10/1994;11.815.056
07/10/1994;13.170.958
10/10/1994;13.201.508
11/10/1994;13.025.221
13/10/1994;12.870.338
14/10/1994;13.649.465
17/10/1994;13.663.412
18/10/1994;12.922.580
19/10/1994;12.746.531
20/10/1994;12.925.350
21/10/1994;13.074.157
24/10/1994;12.713.121
25/10/1994;12.443.188
26/10/1994;12.243.364
27/10/1994;13.262.534
28/10/1994;12.936.719
31/10/1994;12.999.423
01/11/1994;13.124.032
03/11/1994;13.637.039
04/11/1994;14.158.352
07/11/1994;14.132.650
08/11/1994;13.959.959
09/11/1994;13.882.608
10/11/1994;14.678.213
11/11/1994;14.536.619
14/11/1994;14.456.344
16/11/1994;14.303.706
17/11/1994;13.955.850
18/11/1994;14.463.091
21/11/1994;14.205.442
22/11/1994;14.154.798
23/11/1994;13.457.445
24/11/1994;13.868.895
25/11/1994;13.595.835
28/11/1994;13.641.667
29/11/1994;14.734.130
30/11/1994;13.255.532
01/12/1994;15.583.672
02/12/1994;16.031.414
05/12/1994;15.354.353
06/12/1994;15.118.526
07/12/1994;17.131.196
08/12/1994;17.132.490
09/12/1994;17.180.596
12/12/1994;17.155.749
13/12/1994;16.927.199
14/12/1994;16.545.120
15/12/1994;17.920.259
16/12/1994;17.943.464
19/12/1994;18.035.333
20/12/1994;17.429.702
21/12/1994;18.819.419
22/12/1994;18.350.908
23/12/1994;19.211.666
26/12/1994;18.916.750
27/12/1994;18.929.983
28/12/1994;18.452.489
29/12/1994;13.975.443
30/12/1994;17.684.551
02/01/1995;18.551.769
03/01/1995;18.286.618
04/01/1995;18.126.583
05/01/1995;18.515.446
06/01/1995;18.574.049
09/01/1995;18.913.728
10/01/1995;17.881.160
11/01/1995;17.412.467
12/01/1995;17.887.417
13/01/1995;17.466.614
16/01/1995;17.480.249
17/01/1995;16.439.712
18/01/1995;15.872.113
19/01/1995;16.274.018
20/01/1995;15.809.776
23/01/1995;15.635.924
24/01/1995;15.012.408
25/01/1995;14.810.211
26/01/1995;14.470.432
27/01/1995;15.756.463
30/01/1995;15.082.784
31/01/1995;16.736.801
01/02/1995;14.515.853
02/02/1995;15.814.891
03/02/1995;16.073.871
06/02/1995;16.204.267
07/02/1995;16.458.065
08/02/1995;15.586.483
09/02/1995;16.140.035
10/02/1995;16.191.403
13/02/1995;16.832.385
14/02/1995;15.686.872
15/02/1995;15.315.261
