Data;1780 - BM - Papel moeda emitido (saldo diário) - u.m.c. (mil)
04/07/1994;3.623.159
05/07/1994;3.795.182
06/07/1994;3.997.561
07/07/1994;4.185.036
08/07/1994;4.382.708
11/07/1994;4.146.286
12/07/1994;4.053.215
13/07/1994;3.993.396
14/07/1994;4.006.225
15/07/1994;4.430.113
18/07/1994;4.118.794
19/07/1994;4.021.052
20/07/1994;4.064.321
21/07/1994;4.103.424
22/07/1994;4.720.953
25/07/1994;4.384.810
26/07/1994;4.173.869
27/07/1994;4.156.579
28/07/1994;4.384.553
29/07/1994;4.723.550
01/08/1994;4.621.189
02/08/1994;4.583.293
03/08/1994;4.682.920
04/08/1994;5.177.055
05/08/1994;5.709.161
08/08/1994;5.514.917
09/08/1994;5.376.343
10/08/1994;5.176.081
11/08/1994;5.316.118
12/08/1994;5.552.348
15/08/1994;5.324.499
16/08/1994;5.110.002
17/08/1994;4.960.577
18/08/1994;5.078.034
19/08/1994;5.222.927
22/08/1994;5.086.648
23/08/1994;5.047.791
24/08/1994;4.843.205
25/08/1994;4.863.525
26/08/1994;5.076.935
29/08/1994;4.962.966
30/08/1994;5.026.931
31/08/1994;5.153.013
01/09/1994;5.383.026
02/09/1994;5.774.328
05/09/1994;6.043.422
06/09/1994;6.279.010
08/09/1994;6.375.168
09/09/1994;6.296.945
12/09/1994;6.033.836
13/09/1994;5.862.637
14/09/1994;5.876.014
15/09/1994;6.042.277
16/09/1994;6.103.783
19/09/1994;5.975.931
20/09/1994;5.721.137
21/09/1994;5.752.932
22/09/1994;5.866.783
23/09/1994;5.977.017
26/09/1994;5.788.096
27/09/1994;5.595.995
28/09/1994;5.605.443
29/09/1994;5.966.170
30/09/1994;6.392.158
04/10/1994;6.367.757
05/10/1994;6.271.272
06/10/1994;6.658.154
07/10/1994;7.173.511
10/10/1994;6.911.299
11/10/1994;6.711.358
13/10/1994;6.707.446
14/10/1994;6.792.090
17/10/1994;6.535.925
18/10/1994;6.314.571
19/10/1994;6.315.289
20/10/1994;6.433.791
21/10/1994;6.562.931
24/10/1994;6.374.571
25/10/1994;6.155.471
26/10/1994;6.082.056
27/10/1994;6.254.089
28/10/1994;6.553.864
31/10/1994;6.418.164
01/11/1994;6.422.412
03/11/1994;6.668.558
04/11/1994;7.122.204
07/11/1994;7.007.036
08/11/1994;6.901.034
09/11/1994;7.085.742
10/11/1994;7.167.377
11/11/1994;7.390.265
14/11/1994;7.100.958
16/11/1994;6.967.436
17/11/1994;6.970.288
18/11/1994;7.056.306
21/11/1994;6.872.125
22/11/1994;6.650.296
23/11/1994;6.646.763
24/11/1994;6.709.719
25/11/1994;6.870.685
28/11/1994;6.679.443
29/11/1994;6.844.857
30/11/1994;7.178.732
01/12/1994;7.435.610
02/12/1994;8.033.112
05/12/1994;8.237.881
06/12/1994;8.441.055
07/12/1994;8.607.778
08/12/1994;8.793.094
09/12/1994;9.078.497
12/12/1994;8.791.757
13/12/1994;8.648.596
14/12/1994;8.751.137
15/12/1994;9.047.764
16/12/1994;9.278.101
19/12/1994;9.437.329
20/12/1994;9.689.453
21/12/1994;9.861.983
22/12/1994;10.139.122
23/12/1994;10.395.673
26/12/1994;9.781.422
27/12/1994;9.449.002
28/12/1994;9.677.510
29/12/1994;10.119.381
30/12/1994;10.045.617
02/01/1995;9.659.352
03/01/1995;8.975.618
04/01/1995;9.329.233
05/01/1995;9.638.485
06/01/1995;9.935.311
09/01/1995;9.573.649
10/01/1995;9.252.954
11/01/1995;9.000.930
12/01/1995;9.067.616
13/01/1995;9.172.412
16/01/1995;8.792.548
17/01/1995;8.406.085
18/01/1995;8.171.668
19/01/1995;8.262.259
20/01/1995;8.394.244
23/01/1995;8.126.614
24/01/1995;7.910.470
25/01/1995;7.862.027
26/01/1995;7.906.325
27/01/1995;8.089.402
30/01/1995;7.892.287
31/01/1995;7.957.394
01/02/1995;8.039.612
02/02/1995;8.332.738
03/02/1995;8.838.867
06/02/1995;8.915.298
07/02/1995;8.752.750
08/02/1995;8.600.010
09/02/1995;8.627.725
10/02/1995;8.744.243
13/02/1995;8.466.587
14/02/1995;8.233.932
15/02/1995;8.151.399
16/02/1995;8.206.004
17/02/1995;8.370.811
20/02/1995;8.181.161
21/02/1995;7.830.249
22/02/1995;8.202.703
23/02/1995;8.724.967
24/02/1995;9.327.589
01/03/1995;8.773.706
02/03/1995;8.583.891
03/03/1995;8.842.960
06/03/1995;8.822.989
07/03/1995;8.707.389
08/03/1995;8.650.012
09/03/1995;8.722.000
10/03/1995;8.883.697
13/03/1995;8.347.680
14/03/1995;8.058.578
15/03/1995;7.954.706
16/03/1995;7.938.220
17/03/1995;8.085.499
20/03/1995;7.827.539
21/03/1995;7.627.903
22/03/1995;7.664.093
23/03/1995;7.703.369
24/03/1995;7.798.443
27/03/1995;7.466.458
28/03/1995;7.209.239
29/03/1995;7.208.922
30/03/1995;7.466.763
31/03/1995;7.852.447
03/04/1995;7.820.342
04/04/1995;7.791.479
05/04/1995;8.059.006
06/04/1995;8.509.694
07/04/1995;8.863.678
10/04/1995;8.523.584
11/04/1995;8.594.544
12/04/1995;8.816.493
17/04/1995;8.263.281
