Data;1781 - BM - Reservas bancárias (saldo diário) - u.m.c. (mil)
04/07/1994;1.195.384
05/07/1994;1.675.121
06/07/1994;1.364.302
07/07/1994;1.358.886
08/07/1994;2.106.123
11/07/1994;2.407.563
12/07/1994;2.462.492
13/07/1994;2.290.671
14/07/1994;2.372.598
15/07/1994;2.678.567
18/07/1994;3.651.739
19/07/1994;3.262.836
20/07/1994;2.476.057
21/07/1994;2.710.466
22/07/1994;2.717.681
25/07/1994;3.324.444
26/07/1994;2.963.422
27/07/1994;2.836.323
28/07/1994;3.089.700
29/07/1994;2.809.915
01/08/1994;3.888.969
02/08/1994;3.100.456
03/08/1994;3.199.659
04/08/1994;2.930.975
05/08/1994;2.855.808
08/08/1994;4.333.348
09/08/1994;3.464.380
10/08/1994;3.545.505
11/08/1994;4.128.939
12/08/1994;4.028.354
15/08/1994;4.733.632
16/08/1994;4.158.899
17/08/1994;4.253.401
18/08/1994;4.256.811
19/08/1994;3.929.989
22/08/1994;4.650.917
23/08/1994;4.264.444
24/08/1994;4.483.524
25/08/1994;3.787.493
26/08/1994;3.875.539
29/08/1994;4.482.527
30/08/1994;4.539.506
31/08/1994;4.261.269
01/09/1994;4.301.689
02/09/1994;4.287.588
05/09/1994;4.809.567
06/09/1994;4.979.107
08/09/1994;4.925.955
09/09/1994;4.978.053
12/09/1994;5.543.414
13/09/1994;5.423.158
14/09/1994;4.981.814
15/09/1994;6.085.618
16/09/1994;5.281.527
19/09/1994;5.651.976
20/09/1994;5.132.738
21/09/1994;5.840.034
22/09/1994;5.401.652
23/09/1994;5.190.756
26/09/1994;5.360.560
27/09/1994;5.399.989
28/09/1994;5.466.674
29/09/1994;5.743.539
30/09/1994;6.396.440
04/10/1994;5.865.229
05/10/1994;5.699.745
06/10/1994;5.156.902
07/10/1994;5.997.447
10/10/1994;6.290.209
11/10/1994;6.313.863
13/10/1994;6.162.892
14/10/1994;6.857.375
17/10/1994;7.127.487
18/10/1994;6.608.009
19/10/1994;6.431.242
20/10/1994;6.491.559
21/10/1994;6.511.226
24/10/1994;6.338.550
25/10/1994;6.287.717
26/10/1994;6.161.308
27/10/1994;7.008.445
28/10/1994;6.382.855
31/10/1994;6.581.259
01/11/1994;6.701.620
03/11/1994;6.968.481
04/11/1994;7.036.148
07/11/1994;7.125.614
08/11/1994;7.058.925
09/11/1994;6.796.866
10/11/1994;7.510.836
11/11/1994;7.146.354
14/11/1994;7.355.386
16/11/1994;7.336.270
17/11/1994;6.985.562
18/11/1994;7.406.785
21/11/1994;7.333.317
22/11/1994;7.504.502
23/11/1994;6.810.682
24/11/1994;7.159.176
25/11/1994;6.725.150
28/11/1994;6.962.224
29/11/1994;7.889.273
30/11/1994;6.076.800
01/12/1994;8.148.062
02/12/1994;7.998.302
05/12/1994;7.116.472
06/12/1994;6.677.471
07/12/1994;8.523.418
08/12/1994;8.339.396
09/12/1994;8.102.099
12/12/1994;8.363.992
13/12/1994;8.278.603
14/12/1994;7.793.983
15/12/1994;8.872.495
16/12/1994;8.665.363
19/12/1994;8.598.004
20/12/1994;7.740.249
21/12/1994;8.957.436
22/12/1994;8.211.786
23/12/1994;8.815.993
26/12/1994;9.135.328
27/12/1994;9.480.981
28/12/1994;8.774.979
29/12/1994;3.856.062
30/12/1994;7.638.934
02/01/1995;8.892.417
03/01/1995;9.311.000
04/01/1995;8.797.350
05/01/1995;8.876.961
06/01/1995;8.638.738
09/01/1995;9.340.079
10/01/1995;8.628.206
11/01/1995;8.411.537
12/01/1995;8.819.801
13/01/1995;8.294.202
16/01/1995;8.687.701
17/01/1995;8.033.627
18/01/1995;7.700.445
19/01/1995;8.011.759
20/01/1995;7.415.532
23/01/1995;7.509.310
24/01/1995;7.101.938
25/01/1995;6.948.184
26/01/1995;6.564.107
27/01/1995;7.667.061
30/01/1995;7.190.497
31/01/1995;8.779.407
01/02/1995;6.476.241
02/02/1995;7.482.153
03/02/1995;7.235.004
06/02/1995;7.288.969
07/02/1995;7.705.315
08/02/1995;6.986.473
09/02/1995;7.512.310
10/02/1995;7.447.160
13/02/1995;8.365.798
14/02/1995;7.452.940
15/02/1995;7.163.862
16/02/1995;7.852.066
17/02/1995;7.445.716
20/02/1995;7.737.226
21/02/1995;6.978.184
22/02/1995;7.108.438
23/02/1995;7.131.507
24/02/1995;6.493.469
01/03/1995;8.605.889
02/03/1995;7.479.099
03/03/1995;7.380.549
06/03/1995;8.075.455
07/03/1995;8.592.928
08/03/1995;8.353.990
09/03/1995;8.163.945
10/03/1995;8.658.666
13/03/1995;7.371.516
14/03/1995;7.851.279
15/03/1995;8.288.285
16/03/1995;7.495.251
17/03/1995;7.327.318
20/03/1995;6.835.997
21/03/1995;8.180.620
22/03/1995;6.996.858
23/03/1995;6.808.605
24/03/1995;6.858.938
27/03/1995;6.004.488
28/03/1995;7.445.994
29/03/1995;7.000.585
30/03/1995;6.496.681
31/03/1995;7.729.657
03/04/1995;4.991.517
04/04/1995;6.624.865
05/04/1995;5.887.233
06/04/1995;6.436.037
07/04/1995;6.399.883
10/04/1995;6.205.135
11/04/1995;7.155.913
12/04/1995;6.705.212
17/04/1995;6.419.431
18/04/1995;7.358.007
19/04/1995;6.776.747
20/04/1995;6.711.097
24/04/1995;6.505.956
